spkid,class,moid_anomaly_yn,e_anomaly_yn,i_anomaly_yn,anomaly_flag
20153957,APO,N,N,Y,1
20154029,APO,N,N,Y,1
20154035,APO,Y,N,Y,1
20154144,AMO,Y,N,N,1
20154268,APO,Y,N,N,1
20154278,APO,Y,N,N,1
20154347,APO,Y,N,N,1
20154453,APO,Y,N,N,1
20154555,APO,N,N,Y,1
20154631,APO,Y,N,N,1
20154652,APO,Y,N,N,1
20155140,APO,N,Y,N,1
20159399,AMO,N,N,Y,1
20159454,AMO,N,N,Y,1
20159459,APO,Y,N,Y,1
20159518,AMO,N,N,Y,1
20159560,AMO,Y,N,N,1
20159608,AMO,N,N,Y,1
20159609,AMO,N,N,Y,1
20159686,APO,Y,N,N,1
20159699,APO,Y,N,N,1
20159928,APO,Y,N,N,1
20159929,AMO,N,N,Y,1
20162004,ATE,N,Y,N,1
20162015,ATE,Y,N,N,1
20162080,ATE,Y,N,N,1
20162142,ATE,Y,N,N,1
20162161,AMO,Y,N,Y,1
20162186,AMO,Y,N,N,1
20162215,APO,Y,N,N,1
20162269,APO,N,N,Y,1
20162470,APO,Y,N,Y,1
20162474,APO,N,N,Y,1
20162483,ATE,Y,N,Y,1
20162510,APO,N,N,Y,1
20162679,APO,Y,N,N,1
20162694,ATE,Y,N,Y,1
20162740,AMO,N,N,Y,1
20162873,AMO,N,Y,N,1
20162903,APO,N,N,Y,1
20162926,AMO,Y,N,Y,1
20162980,APO,Y,N,N,1
20163000,AMO,N,Y,N,1
20163132,APO,N,N,Y,1
20163250,AMO,N,N,Y,1
20163335,APO,Y,N,Y,1
20163412,AMO,N,N,Y,1
20163454,APO,Y,N,N,1
20163691,AMO,N,N,Y,1
20163732,APO,N,N,Y,1
20163758,APO,N,N,Y,1
20164121,APO,N,N,Y,1
20164201,APO,Y,Y,Y,1
20164217,AMO,N,N,Y,1
20164342,APO,Y,N,N,1
20168044,ATE,Y,N,Y,1
20169352,APO,N,N,Y,1
20170013,APO,Y,N,N,1
20170502,APO,N,Y,N,1
20172718,AMO,Y,N,N,1
20174050,AMO,N,N,Y,1
20174881,APO,Y,N,Y,1
20177651,APO,Y,N,Y,1
20184990,APO,Y,N,Y,1
20185702,AMO,Y,N,N,1
20185716,AMO,Y,N,Y,1
20185853,AMO,N,N,Y,1
20186823,APO,Y,N,N,1
20188174,ATE,N,N,Y,1
20189058,AMO,Y,N,N,1
20189173,APO,N,N,Y,1
20190119,APO,Y,Y,N,1
20191094,APO,N,N,Y,1
20193178,APO,Y,N,N,1
20196068,APO,N,N,Y,1
20196256,AMO,N,N,Y,1
20197588,APO,N,N,Y,1
20202411,APO,Y,N,N,1
20202435,APO,Y,N,N,1
20204232,APO,Y,N,N,1
20206359,AMO,Y,N,N,1
20208565,APO,Y,N,Y,1
20212359,APO,Y,N,N,1
20213869,APO,N,N,Y,1
20215167,AMO,Y,N,N,1
20215442,ATE,Y,N,Y,1
20216707,AMO,Y,N,N,1
20217013,AMO,N,N,Y,1
20217796,AMO,N,N,Y,1
20217837,APO,Y,N,N,1
20219021,APO,Y,N,Y,1
20219071,APO,Y,N,N,1
20220124,APO,N,N,Y,1
20222869,APO,N,N,Y,1
20225312,AMO,N,Y,N,1
20225416,APO,Y,N,Y,1
20225586,APO,Y,N,N,1
20228587,AMO,N,Y,N,1
20229007,APO,N,Y,N,1
20229672,APO,Y,N,Y,1
20230118,AMO,Y,N,N,1
20230599,APO,Y,N,N,1
20231134,APO,Y,N,N,1
20231792,AMO,N,N,Y,1
20231937,APO,N,N,Y,1
20234341,ATE,Y,N,N,1
20235756,APO,N,N,Y,1
20237551,APO,Y,N,Y,1
20237805,AMO,N,N,Y,1
20238063,APO,Y,N,N,1
20241596,AMO,Y,N,N,1
20242147,APO,Y,N,N,1
20242216,AMO,N,N,Y,1
20242450,APO,N,N,Y,1
20242643,APO,N,Y,N,1
20247517,ATE,N,Y,N,1
20248083,AMO,Y,N,N,1
20248590,APO,N,N,Y,1
20250458,APO,N,N,Y,1
20250577,APO,N,N,Y,1
20250614,APO,Y,N,Y,1
20252373,APO,Y,N,Y,1
20252793,AMO,N,N,Y,1
20253106,APO,N,N,Y,1
20253586,AMO,N,N,Y,1
20254417,APO,Y,N,Y,1
20254419,AMO,Y,N,Y,1
20262623,ATE,Y,N,N,1
20265032,APO,Y,N,Y,1
20265661,APO,Y,N,N,1
20267136,APO,Y,N,N,1
20267223,APO,N,Y,N,1
20267494,APO,N,N,Y,1
20275545,AMO,Y,N,N,1
20276033,APO,N,Y,N,1
20276049,APO,N,N,Y,1
20276111,AMO,Y,N,N,1
20276409,APO,Y,N,Y,1
20276468,AMO,Y,N,Y,1
20276732,APO,N,N,Y,1
20277039,APO,Y,N,N,1
20277142,APO,Y,N,N,1
20277473,AMO,Y,N,Y,1
20277617,APO,Y,N,N,1
20277958,APO,Y,N,N,1
20278327,APO,Y,N,Y,1
20279816,APO,N,N,Y,1
20280136,APO,Y,N,Y,1
20281070,APO,N,N,Y,1
20281365,APO,Y,N,N,1
20285110,AMO,Y,N,N,1
20285179,APO,Y,N,N,1
20285339,APO,Y,N,N,1
20285638,APO,Y,N,Y,1
20285944,AMO,N,N,Y,1
20285990,APO,Y,N,N,1
20286079,ATE,Y,N,Y,1
20288807,APO,N,N,Y,1
20289227,ATE,Y,Y,N,1
20292165,APO,Y,N,N,1
20294739,APO,N,N,Y,1
20296318,APO,N,N,Y,1
20302010,APO,Y,N,Y,1
20302156,APO,Y,N,N,1
20302169,ATE,N,Y,N,1
20303174,AMO,Y,N,N,1
20303250,ATE,N,Y,N,1
20303262,APO,Y,N,N,1
20303933,APO,Y,N,N,1
20304293,APO,Y,N,Y,1
20305090,AMO,Y,N,N,1
20306595,AMO,Y,N,N,1
20307005,APO,N,N,Y,1
20307918,ATE,Y,N,N,1
20308043,APO,Y,N,N,1
20309662,ATE,Y,N,N,1
20311044,APO,N,N,Y,1
20311321,AMO,Y,N,Y,1
20311555,APO,Y,N,N,1
20313276,ATE,Y,N,Y,1
20313809,APO,Y,N,N,1
20317643,APO,Y,N,N,1
20322913,AMO,Y,N,Y,1
20322966,AMO,N,N,Y,1
20325102,ATE,N,Y,N,1
20326291,AMO,N,Y,Y,1
20326332,AMO,N,N,Y,1
20326386,APO,Y,N,N,1
20326388,APO,Y,N,N,1
20326946,AMO,N,N,Y,1
20329340,AMO,N,Y,N,1
20329395,APO,N,N,Y,1
20329774,APO,Y,N,Y,1
20329915,ATE,N,Y,Y,1
20330233,APO,N,N,Y,1
20331471,APO,N,Y,N,1
20331509,AMO,Y,N,Y,1
20331792,AMO,Y,N,N,1
20332408,APO,N,N,Y,1
20333284,AMO,N,N,Y,1
20333478,ATE,Y,N,N,1
20333510,APO,Y,N,N,1
20333755,APO,Y,N,N,1
20333889,ATE,Y,Y,Y,1
20333908,AMO,N,N,Y,1
20334412,AMO,N,Y,N,1
20337053,APO,Y,N,N,1
20337118,APO,Y,N,Y,1
20337248,ATE,Y,N,N,1
20337557,AMO,N,N,Y,1
20338049,APO,Y,N,Y,1
20338176,AMO,Y,N,N,1
20338292,ATE,Y,N,N,1
20338567,AMO,N,N,Y,1
20339492,AMO,N,N,Y,1
20339715,APO,Y,N,N,1
20341816,AMO,Y,N,N,1
20343158,APO,N,N,Y,1
20344074,ATE,Y,N,N,1
20345813,APO,N,N,Y,1
20347634,APO,Y,N,N,1
20348304,AMO,Y,N,Y,1
20348461,APO,Y,Y,Y,1
20349068,APO,N,N,Y,1
20349074,APO,Y,N,N,1
20349219,APO,N,N,Y,1
20349925,APO,Y,N,N,1
20350964,AMO,N,N,Y,1
20350988,APO,Y,N,Y,1
20351278,APO,Y,N,N,1
20351331,APO,Y,N,N,1
20351370,APO,Y,Y,N,1
20351815,AMO,Y,N,N,1
20352102,APO,N,N,Y,1
20353947,APO,Y,N,Y,1
20354876,APO,Y,N,N,1
20356285,AMO,Y,N,N,1
20357022,APO,N,N,Y,1
20357618,APO,N,N,Y,1
20360502,ATE,Y,N,N,1
20361538,APO,N,N,Y,1
20361861,APO,Y,N,Y,1
20363067,APO,N,Y,N,1
20363617,APO,Y,N,Y,1
20363626,AMO,Y,N,Y,1
20363814,APO,Y,N,Y,1
20364136,ATE,N,Y,N,1
20364762,AMO,Y,N,Y,1
20364877,APO,N,Y,N,1
20365071,APO,N,Y,Y,1
20365246,APO,Y,Y,Y,1
20365449,ATE,Y,N,N,1
20369264,APO,N,N,Y,1
20369296,APO,N,Y,N,1
20369452,APO,Y,N,Y,1
20369454,APO,Y,N,Y,1
20369984,APO,Y,N,N,1
20369986,ATE,Y,Y,N,1
20370061,APO,Y,N,Y,1
20370307,APO,Y,N,N,1
20370688,AMO,Y,N,N,1
20370702,AMO,Y,N,N,1
20371336,APO,Y,N,N,1
20373428,APO,Y,N,N,1
20373579,APO,Y,N,N,1
20374158,APO,N,Y,N,1
20375103,APO,N,N,Y,1
20376707,APO,Y,N,N,1
20376883,AMO,Y,N,N,1
20378124,APO,Y,N,N,1
20380359,AMO,Y,N,N,1
20380455,APO,Y,N,N,1
20380476,APO,Y,N,N,1
20380818,ATE,Y,N,N,1
20382459,AMO,Y,N,N,1
20382625,AMO,Y,N,N,1
20383610,AMO,N,N,Y,1
20385186,AMO,N,Y,N,1
20385252,APO,N,N,Y,1
20385402,APO,N,Y,Y,1
20385580,AMO,Y,N,N,1
20386259,APO,Y,N,Y,1
20386454,APO,N,Y,N,1
20386504,APO,Y,N,N,1
20386720,AMO,Y,N,N,1
20387505,APO,N,Y,N,1
20387717,APO,Y,N,Y,1
20387793,APO,Y,N,N,1
20388189,ATE,Y,N,N,1
20388798,APO,Y,N,Y,1
20391151,APO,N,Y,N,1
20392211,AMO,N,N,Y,1
20392476,APO,Y,N,N,1
20393908,APO,N,N,Y,1
20394130,APO,N,Y,Y,1
20394392,ATE,Y,Y,N,1
20394783,APO,Y,N,Y,1
20395289,APO,N,N,Y,1
20396730,APO,Y,N,N,1
20396793,APO,Y,N,N,1
20396794,APO,Y,N,Y,1
20397237,APO,Y,Y,Y,1
20397471,AMO,Y,N,N,1
20397474,APO,Y,N,N,1
20399457,APO,N,Y,N,1
20401857,APO,Y,Y,N,1
20401925,APO,Y,N,Y,1
20401998,APO,Y,Y,N,1
20403775,ATE,N,Y,N,1
20405189,AMO,N,Y,N,1
20406952,APO,N,N,Y,1
20408869,AMO,Y,N,N,1
20408982,ATE,Y,N,N,1
20410778,APO,N,N,Y,1
20410832,AMO,Y,N,N,1
20412977,APO,Y,N,N,1
20412995,AMO,N,Y,N,1
20413091,AMO,Y,N,Y,1
20414772,APO,Y,N,N,1
20415027,APO,Y,N,N,1
20415029,APO,N,N,Y,1
20415710,AMO,Y,N,N,1
20415711,AMO,N,N,Y,1
20415715,AMO,Y,N,N,1
20415746,AMO,Y,N,N,1
20415987,APO,Y,N,Y,1
20416186,AMO,N,Y,N,1
20416675,AMO,N,N,Y,1
20416694,APO,Y,N,N,1
20417167,AMO,N,N,Y,1
20417201,AMO,N,Y,N,1
20417581,APO,Y,N,Y,1
20417871,APO,N,N,Y,1
20417874,APO,Y,Y,N,1
20417949,APO,N,N,Y,1
20418094,APO,N,N,Y,1
20418233,APO,Y,N,N,1
20418797,ATE,Y,N,N,1
20418849,APO,N,Y,Y,1
20418896,APO,Y,N,N,1
20419022,AMO,N,N,Y,1
20419624,APO,N,Y,N,1
20420286,APO,Y,N,Y,1
20423100,APO,Y,Y,N,1
20424089,AMO,Y,N,N,1
20425755,ATE,N,Y,N,1
20427499,AMO,Y,N,N,1
20427643,AMO,N,N,Y,1
20427778,ATE,Y,N,Y,1
20428223,APO,Y,Y,N,1
20429733,AMO,Y,N,N,1
20431760,APO,N,Y,N,1
20433992,AMO,N,N,Y,1
20434051,AMO,N,N,Y,1
20434313,ATE,Y,N,N,1
20434344,APO,Y,N,Y,1
20434677,APO,N,N,Y,1
20434786,APO,Y,N,Y,1
20435138,AMO,Y,N,N,1
20435730,AMO,Y,N,Y,1
20436324,AMO,N,N,Y,1
20436325,APO,Y,Y,N,1
20436568,APO,Y,N,N,1
20436763,APO,Y,N,N,1
20436775,APO,Y,N,Y,1
20437844,ATE,N,Y,N,1
20437994,APO,Y,N,N,1
20438107,APO,Y,N,N,1
20438116,APO,N,Y,Y,1
20438990,APO,N,N,Y,1
20441058,APO,Y,N,Y,1
20441825,AMO,Y,N,N,1
20442177,AMO,N,Y,Y,1
20442559,AMO,N,N,Y,1
20443837,AMO,N,Y,Y,1
20446955,AMO,N,N,Y,1
20447655,AMO,Y,N,N,1
20448628,APO,Y,N,N,1
20449074,AMO,Y,N,Y,1
20449089,APO,Y,N,N,1
20450143,APO,Y,N,N,1
20450160,APO,N,N,Y,1
20450259,APO,Y,N,N,1
20450293,APO,N,N,Y,1
20450779,AMO,N,N,Y,1
20451217,AMO,Y,N,N,1
20452307,AMO,Y,N,Y,1
20452389,AMO,N,Y,N,1
20452421,AMO,Y,N,N,1
20452474,APO,Y,N,Y,1
20452639,APO,Y,Y,N,1
20453100,AMO,Y,N,N,1
20454177,AMO,N,N,Y,1
20455193,AMO,Y,N,Y,1
20455407,AMO,N,N,Y,1
20455426,APO,N,Y,N,1
20455594,APO,N,N,Y,1
20455659,ATE,Y,N,N,1
20455736,AMO,Y,N,N,1
20455956,APO,Y,N,N,1
20456618,AMO,Y,N,N,1
20456651,AMO,Y,N,N,1
20457059,ATE,Y,Y,N,1
20457647,APO,Y,N,N,1
20458062,APO,Y,N,N,1
20458368,AMO,Y,N,N,1
20458418,APO,N,N,Y,1
20459386,APO,Y,N,Y,1
20459458,APO,Y,N,N,1
20459872,APO,N,Y,N,1
20462041,APO,Y,N,N,1
20462329,AMO,Y,N,N,1
20462559,AMO,N,Y,N,1
20462736,APO,Y,N,Y,1
20463216,AMO,Y,N,N,1
20463282,APO,Y,N,N,1
20463664,APO,Y,N,N,1
20464797,APO,Y,N,Y,1
20464885,AMO,N,N,Y,1
20465402,APO,N,Y,N,1
20465616,AMO,N,N,Y,1
20466130,APO,N,N,Y,1
20466507,ATE,Y,N,N,1
20466508,APO,N,N,Y,1
20467347,APO,Y,N,Y,1
20467352,ATE,Y,N,N,1
20467372,APO,Y,Y,Y,1
20467609,APO,Y,N,N,1
20467835,AMO,Y,N,N,1
20468004,AMO,Y,N,N,1
20468117,APO,Y,N,N,1
20468446,AMO,Y,N,N,1
20468540,ATE,Y,Y,N,1
20468541,APO,Y,N,N,1
20468909,ATE,Y,N,Y,1
20469219,APO,N,Y,N,1
20469727,APO,Y,N,Y,1
20470004,APO,N,N,Y,1
20470594,AMO,N,N,Y,1
20470909,AMO,Y,N,N,1
20470951,APO,N,N,Y,1
20471108,AMO,Y,N,N,1
20471926,APO,N,Y,N,1
20474163,APO,N,Y,N,1
20474223,AMO,N,N,Y,1
20474425,AMO,Y,N,N,1
20474549,APO,N,N,Y,1
20474585,APO,N,N,Y,1
20474674,AMO,Y,N,N,1
20475354,AMO,N,N,Y,1
20475967,AMO,Y,N,N,1
20476187,APO,Y,N,N,1
20477051,AMO,Y,N,N,1
20477492,AMO,Y,N,Y,1
20477519,APO,N,N,Y,1
20477524,AMO,N,Y,Y,1
20477588,APO,Y,N,N,1
20478574,APO,N,N,Y,1
20480824,AMO,Y,N,N,1
20480854,AMO,Y,N,N,1
20480927,APO,Y,N,N,1
20481032,AMO,N,N,Y,1
20481442,ATE,Y,N,N,1
20481542,APO,Y,N,N,1
20481790,AMO,Y,N,N,1
20481918,APO,Y,N,N,1
20481965,APO,Y,N,N,1
20482049,AMO,N,N,Y,1
20482055,AMO,N,N,Y,1
20482111,AMO,N,N,Y,1
20482244,AMO,N,Y,N,1
20482250,AMO,N,Y,N,1
20482533,ATE,N,Y,N,1
20483408,AMO,Y,N,N,1
20483506,AMO,Y,N,N,1
20483509,AMO,N,N,Y,1
20483563,APO,Y,N,N,1
20483566,AMO,Y,N,N,1
20484199,APO,Y,N,N,1
20484850,AMO,Y,N,N,1
20484976,APO,N,N,Y,1
20485882,APO,Y,N,Y,1
20487580,APO,Y,N,N,1
20488461,APO,N,N,Y,1
20488474,APO,Y,N,N,1
20488486,AMO,Y,N,N,1
20488579,AMO,N,N,Y,1
20488580,AMO,Y,N,Y,1
20488640,AMO,Y,N,Y,1
20488645,APO,N,Y,N,1
20488693,AMO,N,N,Y,1
20488789,APO,N,N,Y,1
20489203,AMO,N,N,Y,1
20489885,AMO,N,N,Y,1
20489900,APO,Y,N,Y,1
20490636,AMO,N,N,Y,1
20491424,APO,Y,N,Y,1
20492478,APO,Y,N,N,1
20494689,APO,Y,N,Y,1
20494690,APO,N,N,Y,1
20494706,APO,Y,Y,N,1
20494713,APO,N,N,Y,1
20494999,ATE,N,N,Y,1
20495021,AMO,N,Y,N,1
20495168,AMO,Y,N,Y,1
20495187,APO,N,N,Y,1
20495323,APO,Y,N,N,1
20495615,ATE,Y,N,Y,1
20495829,APO,Y,N,Y,1
20495891,AMO,Y,N,N,1
20496124,AMO,Y,N,N,1
20496230,AMO,N,N,Y,1
20496327,APO,Y,N,Y,1
20497135,APO,Y,N,N,1
20497174,APO,Y,N,N,1
20497245,APO,N,N,Y,1
20498068,APO,Y,N,N,1
20498143,APO,Y,N,Y,1
20498918,AMO,N,N,Y,1
20499490,AMO,Y,N,N,1
20499496,AMO,N,N,Y,1
20499986,AMO,N,N,Y,1
20500922,APO,Y,N,Y,1
20501878,APO,Y,N,N,1
20503871,APO,N,N,Y,1
20503880,APO,Y,N,Y,1
20503892,APO,Y,N,N,1
20503960,APO,Y,N,N,1
20503966,APO,Y,N,N,1
20504033,APO,Y,Y,Y,1
20504034,APO,N,N,Y,1
20504074,APO,Y,N,Y,1
20504181,APO,N,Y,N,1
20504994,AMO,N,N,Y,1
20505019,APO,Y,N,N,1
20506425,AMO,Y,N,Y,1
20506779,AMO,Y,N,N,1
20507355,APO,Y,N,N,1
20507716,APO,N,N,Y,1
20508767,AMO,Y,N,N,1
20508796,AMO,Y,N,N,1
20508871,APO,Y,N,Y,1
20508918,APO,N,N,Y,1
20508997,APO,Y,N,N,1
20509520,APO,Y,N,N,1
20509523,APO,N,Y,N,1
20510160,APO,N,N,Y,1
20511002,AMO,Y,N,N,1
20511137,APO,N,N,Y,1
20511600,APO,Y,N,Y,1
20513170,ATE,N,N,Y,1
20513472,APO,Y,N,N,1
20513916,AMO,Y,N,N,1
20514041,AMO,N,N,Y,1
20514571,AMO,N,N,Y,1
20515010,APO,N,N,Y,1
20515742,ATE,Y,N,Y,1
20516423,AMO,Y,N,N,1
20516428,AMO,N,N,Y,1
20516435,ATE,N,N,Y,1
20516641,AMO,N,N,Y,1
20516734,APO,N,N,Y,1
20516868,AMO,N,N,Y,1
20517046,APO,Y,N,N,1
20518424,AMO,Y,N,N,1
20518507,APO,N,N,Y,1
20519824,APO,Y,N,N,1
20520808,APO,N,N,Y,1
20520862,AMO,N,N,Y,1
20523592,AMO,Y,N,N,1
20523593,AMO,N,N,Y,1
20523598,APO,N,N,Y,1
20523600,APO,Y,N,Y,1
20523602,AMO,N,N,Y,1
20523607,AMO,Y,N,N,1
20523612,AMO,Y,N,N,1
20523614,APO,Y,N,N,1
20523616,APO,Y,N,N,1
20523619,APO,Y,N,Y,1
20523625,APO,N,N,Y,1
20523626,AMO,Y,N,Y,1
20523630,APO,N,Y,Y,1
20523632,AMO,N,Y,N,1
20523638,APO,Y,N,Y,1
20523650,APO,N,N,Y,1
20523656,APO,N,N,Y,1
20523664,ATE,N,N,Y,1
20523728,APO,Y,N,N,1
20523747,APO,Y,N,N,1
20523786,AMO,Y,N,Y,1
20523792,APO,Y,N,Y,1
20523796,APO,Y,N,N,1
20523799,AMO,N,N,Y,1
20523807,APO,Y,N,N,1
20523808,ATE,N,N,Y,1
20523810,APO,Y,N,N,1
20523815,AMO,N,N,Y,1
20523819,AMO,N,Y,N,1
20523820,APO,N,N,Y,1
20523934,APO,N,N,Y,1
20523967,AMO,N,N,Y,1
20523972,APO,Y,N,Y,1
20525364,APO,N,Y,N,1
20525552,AMO,N,N,Y,1
20526449,AMO,N,N,Y,1
20526742,ATE,Y,N,N,1
20526825,APO,Y,N,Y,1
20526826,ATE,Y,N,N,1
20527841,APO,Y,N,Y,1
20527977,ATE,N,Y,N,1
20528609,APO,Y,N,N,1
20529670,APO,N,N,Y,1
20529718,APO,Y,Y,Y,1
20529720,APO,Y,N,N,1
20529920,AMO,Y,N,N,1
20530085,APO,N,Y,N,1
20530151,APO,Y,N,N,1
20530871,APO,N,N,Y,1
20531060,ATE,N,N,Y,1
20531914,APO,N,N,Y,1
20533372,APO,N,N,Y,1
20533671,APO,N,Y,N,1
20535148,AMO,Y,N,N,1
20537686,AMO,N,N,Y,1
20537829,ATE,Y,N,N,1
20538085,APO,N,N,Y,1
20538648,APO,Y,N,Y,1
20538979,AMO,Y,N,N,1
20543319,APO,N,N,Y,1
20545274,APO,Y,N,N,1
20549459,APO,Y,N,N,1
20555122,APO,Y,N,N,1
20564883,AMO,N,N,Y,1
20577723,APO,Y,N,N,1
20585428,APO,Y,N,N,1
20585734,APO,Y,N,N,1
20594913,IEO,Y,N,N,1
20595116,AMO,N,Y,N,1
20601696,APO,Y,N,N,1
20604197,APO,Y,N,N,1
20606441,AMO,N,N,Y,1
20606702,APO,Y,N,Y,1
20606908,AMO,Y,N,N,1
20608017,APO,Y,N,N,1
20612057,AMO,Y,N,N,1
20612094,APO,N,Y,N,1
20612162,APO,N,Y,N,1
20612362,APO,Y,N,N,1
20612443,ATE,Y,N,N,1
20612541,APO,Y,N,Y,1
20612552,AMO,N,N,Y,1
20612593,APO,N,N,Y,1
20612600,AMO,N,Y,N,1
20612760,AMO,N,Y,N,1
20612781,APO,N,N,Y,1
20612901,APO,N,N,Y,1
20612922,APO,Y,N,N,1
20613217,AMO,N,N,Y,1
20613398,ATE,Y,N,N,1
20613420,APO,Y,N,N,1
20613433,APO,Y,Y,N,1
20613434,AMO,Y,N,Y,1
20613496,AMO,N,N,Y,1
20613512,APO,N,N,Y,1
20613527,AMO,Y,N,N,1
20613763,AMO,N,Y,N,1
20613814,APO,Y,N,N,1
20613910,APO,Y,N,N,1
