spkid,full_name,pha,class
20003552,3552 Don Quixote (1983 SA),N,AMO
20003553,3553 Mera (1985 JA),N,AMO
20003554,3554 Amun (1986 EB),N,ATE
20003671,3671 Dionysus (1984 KD),Y,APO
20003691,3691 Bede (1982 FT),N,AMO
20003752,3752 Camillo (1985 PA),N,APO
20003753,3753 Cruithne (1986 TO),N,ATE
20003757,3757 Anagolay (1982 XB),Y,APO
20003838,3838 Epona (1986 WA),N,APO
20003908,3908 Nyx (1980 PA),N,AMO
20003988,3988 Huma (1986 LA),N,AMO
20004015,4015 Wilson-Harrington (1979 VA),Y,APO
20004034,4034 Vishnu (1986 PA),Y,APO
20004055,4055 Magellan (1985 DO2),N,AMO
20004179,4179 Toutatis (1989 AC),Y,APO
20004183,4183 Cuno (1959 LM),Y,APO
20004197,4197 Morpheus (1982 TA),N,APO
20004257,4257 Ubasti (1987 QA),N,APO
20004341,4341 Poseidon (1987 KF),N,APO
20004401,4401 Aditi (1985 TB),N,AMO
20004450,4450 Pan (1987 SY),Y,APO
20004486,4486 Mithra (1987 SB),Y,APO
20004487,4487 Pocahontas (1987 UA),N,AMO
20004503,4503 Cleobulus (1989 WM),N,AMO
20004544,4544 Xanthus (1989 FB),N,APO
20004581,4581 Asclepius (1989 FC),Y,APO
20004596,4596 (1981 QB),N,AMO
20004660,4660 Nereus (1982 DB),Y,APO
20004688,4688 (1980 WF),N,AMO
20004769,4769 Castalia (1989 PB),Y,APO
20004947,4947 Ninkasi (1988 TJ1),N,AMO
20004953,4953 (1990 MU),Y,APO
20004954,4954 Eric (1990 SQ),N,AMO
20004957,4957 Brucemurray (1990 XJ),N,AMO
20005011,5011 Ptah (6743 P-L),Y,APO
20005131,5131 (1990 BG),N,APO
20005143,5143 Heracles (1991 VL),N,APO
20005189,5189 (1990 UQ),Y,APO
20005324,5324 Lyapunov (1987 SL),N,AMO
20005332,5332 Davidaguilar (1990 DA),N,AMO
20005370,5370 Taranis (1986 RA),N,AMO
20005381,5381 Sekhmet (1991 JY),N,ATE
20005496,5496 (1973 NA),N,APO
20005587,5587 (1990 SB),N,AMO
20005590,5590 (1990 VA),N,ATE
20005604,5604 (1992 FE),Y,ATE
20005620,5620 Jasonwheeler (1990 OA),N,AMO
20005626,5626 Melissabrucker (1991 FE),N,AMO
20005645,5645 (1990 SP),N,APO
20005646,5646 (1990 TR),N,AMO
20005653,5653 Camarillo (1992 WD5),N,AMO
20005660,5660 (1974 MA),N,APO
20005693,5693 (1993 EA),Y,APO
20005731,5731 Zeus (1988 VP4),N,APO
20005751,5751 Zao (1992 AC),N,AMO
20005786,5786 Talos (1991 RC),N,APO
20005797,5797 Bivoj (1980 AA),N,AMO
20005828,5828 (1991 AM),N,APO
20005836,5836 (1993 MF),N,AMO
20005863,5863 Tara (1983 RB),N,AMO
20005869,5869 Tanith (1988 VN4),N,AMO
20005879,5879 Almeria (1992 CH1),N,AMO
20006037,6037 (1988 EG),Y,APO
20006047,6047 (1991 TB1),N,APO
20006050,6050 Miwablock (1992 AE),N,AMO
20006053,6053 (1993 BW3),N,APO
20006063,6063 Jason (1984 KB),N,APO
20006178,6178 (1986 DA),N,AMO
20006239,6239 Minos (1989 QF),Y,APO
20006455,6455 (1992 HE),N,APO
20006456,6456 Golombek (1992 OM),N,AMO
20006489,6489 Golevka (1991 JX),Y,APO
20006491,6491 (1991 OA),Y,AMO
20006569,6569 Ondaatje (1993 MO),N,AMO
20006611,6611 (1993 VW),N,APO
20007025,7025 (1993 QA),N,APO
20007088,7088 Ishtar (1992 AA),N,AMO
20007092,7092 Cadmus (1992 LC),N,APO
20007236,7236 (1987 PA),N,AMO
20007335,7335 (1989 JA),Y,APO
20007336,7336 Saunders (1989 RS1),N,AMO
20007341,7341 (1991 VK),Y,APO
20007350,7350 (1993 VA),N,APO
20007358,7358 Oze (1995 YA3),N,AMO
20007474,7474 (1992 TC),N,AMO
20007480,7480 Norwan (1994 PC),N,AMO
20007482,7482 (1994 PC1),Y,APO
20007753,7753 (1988 XB),Y,APO
20007822,7822 (1991 CS),Y,APO
20007839,7839 (1994 ND),N,AMO
20007888,7888 (1993 UC),N,APO
20007889,7889 (1994 LX),N,APO
20007977,7977 (1977 QQ5),N,AMO
20008013,8013 Gordonmoore (1990 KA),N,AMO
20008014,8014 (1990 MF),Y,APO
20008034,8034 Akka (1992 LR),N,AMO
20008035,8035 (1992 TB),N,APO
20008037,8037 (1993 HO1),N,AMO
20008176,8176 (1991 WA),N,APO
20008201,8201 (1994 AH2),N,APO
20008507,8507 (1991 CB1),N,APO
20008566,8566 (1996 EN),Y,APO
20008567,8567 (1996 HW1),N,AMO
20008709,8709 Kadlu (1994 JF1),N,AMO
20009058,9058 (1992 JB),N,APO
20009162,9162 Kwiila (1987 OA),N,APO
20009172,9172 Abhramu (1989 OB),N,AMO
20009202,9202 (1993 PB),N,APO
20009400,9400 (1994 TW1),N,AMO
20009856,9856 (1991 EE),Y,APO
20009950,9950 ESA (1990 VB),N,AMO
20010115,10115 (1992 SK),Y,APO
20010145,10145 (1994 CK1),N,APO
20010150,10150 (1994 PN),N,AMO
20010165,10165 (1995 BL2),N,APO
20010302,10302 (1989 ML),N,AMO
20010563,10563 Izhdubar (1993 WD),N,APO
20010636,10636 (1998 QK56),N,APO
20010860,10860 (1995 LE),N,AMO
20011054,11054 (1991 FA),N,AMO
20011066,11066 Sigurd (1992 CC1),N,APO
20011284,11284 Belenus (1990 BA),N,AMO
20011311,11311 Peleus (1993 XN2),N,APO
20011398,11398 (1998 YP11),N,AMO
20011405,11405 (1999 CV3),N,APO
20011500,11500 Tomaiyowit (1989 UR),Y,APO
20011885,11885 Summanus (1990 SS),N,APO
20012538,12538 (1998 OH),Y,APO
20012711,12711 Tukmit (1991 BB),N,APO
20012923,12923 Zephyr (1999 GK4),Y,APO
20013553,13553 Masaakikoyama (1992 JE),N,AMO
20013651,13651 (1997 BR),Y,APO
20014402,14402 (1991 DB),N,AMO
20014827,14827 Hypnos (1986 JK),Y,APO
20015745,15745 Yuliya (1991 PM5),N,AMO
20015817,15817 Lucianotesi (1994 QC),N,AMO
20016064,16064 Davidharvey (1999 RH27),N,AMO
20016636,16636 (1993 QP),N,AMO
20016657,16657 (1993 UB),N,AMO
20016816,16816 (1997 UF9),N,APO
20016834,16834 (1997 WU22),N,APO
20016912,16912 Rhiannon (1998 EP8),N,AMO
20016960,16960 (1998 QS52),Y,APO
20017181,17181 (1999 UM3),N,APO
20017182,17182 (1999 VU),N,APO
20017188,17188 (1999 WC2),N,APO
20017274,17274 (2000 LC16),N,AMO
20017511,17511 (1992 QN),N,APO
20018106,18106 Blume (2000 NX3),N,AMO
20018109,18109 (2000 NG11),N,AMO
20018172,18172 (2000 QL7),N,AMO
20018736,18736 (1998 NU),N,AMO
20018882,18882 (1999 YN4),N,AMO
20019356,19356 (1997 GH3),N,AMO
20019764,19764 (2000 NF5),N,AMO
20020086,20086 (1994 LW),N,AMO
20020236,20236 (1998 BZ7),Y,APO
20020255,20255 (1998 FX2),N,AMO
20020425,20425 (1998 VD35),Y,APO
20020429,20429 (1998 YN1),N,APO
20020460,20460 Robwhiteley (1999 LO28),N,AMO
20020790,20790 (2000 SE45),N,AMO
20020826,20826 (2000 UV13),N,APO
20021088,21088 Chelyabinsk (1992 BL2),N,AMO
20021277,21277 (1996 TO5),N,AMO
20021374,21374 (1997 WS22),N,AMO
20022099,22099 (2000 EX106),N,APO
20022753,22753 (1998 WT),Y,APO
20022771,22771 (1999 CU3),N,APO
20023183,23183 (2000 OY21),N,AMO
20023187,23187 (2000 PN9),Y,APO
20023548,23548 (1994 EF2),N,AMO
20023606,23606 (1996 AS1),N,AMO
20023714,23714 (1998 EC3),N,AMO
20024443,24443 (2000 OG),N,APO
20024445,24445 (2000 PM8),N,APO
20024475,24475 (2000 VN2),N,AMO
20024761,24761 Ahau (1993 BW2),N,APO
20025143,25143 Itokawa (1998 SF36),Y,APO
20025330,25330 (1999 KV4),N,APO
20025916,25916 (2001 CP44),N,AMO
20026166,26166 (1995 QN3),N,AMO
20026310,26310 (1998 TX6),N,AMO
20026379,26379 (1999 HZ1),N,APO
20026663,26663 (2000 XK47),Y,APO
20026760,26760 (2001 KP41),N,AMO
20026817,26817 (1987 QB),N,AMO
20027002,27002 (1998 DV9),Y,APO
20027031,27031 (1998 RO4),N,AMO
20027346,27346 (2000 DN8),N,AMO
20029075,29075 (1950 DA),Y,APO
20030825,30825 (1990 TG1),N,APO
20030997,30997 (1995 UO5),N,APO
20031210,31210 (1998 BX7),N,AMO
20031221,31221 (1998 BP26),N,AMO
20031345,31345 (1998 PG),N,AMO
20031346,31346 (1998 PB1),N,AMO
20031662,31662 (1999 HP11),N,APO
20031669,31669 (1999 JT6),Y,APO
20032906,32906 (1994 RH),N,AMO
20033342,33342 (1998 WT24),Y,ATE
20034613,34613 (2000 UR13),N,AMO
20035107,35107 (1991 VH),Y,APO
20035396,35396 (1997 XF11),Y,APO
20035432,35432 (1998 BG9),N,AMO
20035670,35670 (1998 SU27),N,APO
20036017,36017 (1999 ND43),N,AMO
20036183,36183 (1999 TX16),N,AMO
20036236,36236 (1999 VV),N,APO
20036284,36284 (2000 DM8),N,APO
20037336,37336 (2001 RM),N,AMO
20037638,37638 (1993 VB),Y,APO
20037655,37655 Illapa (1994 PM),Y,APO
20038071,38071 (1999 GU3),Y,AMO
20038086,38086 Beowulf (1999 JB),N,APO
20038091,38091 (1999 JT3),N,AMO
20038239,38239 (1999 OR3),N,APO
20039557,39557 Gielgud (1992 JG),N,AMO
20039565,39565 (1992 SL),N,AMO
20039572,39572 (1993 DQ1),Y,AMO
20039796,39796 (1997 TD),N,AMO
20040263,40263 (1999 FQ5),N,AMO
20040267,40267 (1999 GJ4),N,APO
20040329,40329 (1999 ML),N,AMO
20041429,41429 (2000 GE2),Y,APO
20041440,41440 (2000 HZ23),N,AMO
20042286,42286 (2001 TN41),N,APO
20048603,48603 (1995 BC2),N,AMO
20052340,52340 (1992 SY),N,APO
20052381,52381 (1993 HA),N,AMO
20052387,52387 Huitzilopochtli (1993 OM7),N,AMO
20052689,52689 (1998 FF2),N,AMO
20052750,52750 (1998 KK17),N,APO
20052760,52760 (1998 ML14),Y,APO
20052761,52761 (1998 MN14),N,AMO
20052762,52762 (1998 MT24),N,APO
20052768,52768 (1998 OR2),Y,APO
20053110,53110 (1999 AR7),N,AMO
20053319,53319 (1999 JM8),Y,APO
20053409,53409 (1999 LU7),N,APO
20053426,53426 (1999 SL5),Y,APO
20053429,53429 (1999 TF5),N,APO
20053430,53430 (1999 TY16),N,AMO
20053435,53435 Leonard (1999 VM40),N,AMO
20053550,53550 (2000 BF19),Y,APO
20053789,53789 (2000 ED104),Y,APO
20054071,54071 (2000 GQ146),N,AMO
20054401,54401 (2000 LM),N,AMO
20054509,54509 YORP (2000 PH5),N,APO
20054660,54660 (2000 UJ1),N,AMO
20054686,54686 (2001 DU8),N,AMO
20054690,54690 (2001 EB),N,AMO
20054789,54789 (2001 MZ7),N,AMO
20055408,55408 (2001 TC2),N,APO
20055532,55532 (2001 WG2),N,APO
20065674,65674 (1988 SM),N,AMO
20065679,65679 (1989 UQ),Y,ATE
20065690,65690 (1991 DG),Y,APO
20065706,65706 (1992 NA),N,AMO
20065717,65717 (1993 BX3),Y,APO
20065733,65733 (1993 PC),N,APO
20065803,65803 Didymos (1996 GT),Y,APO
20065909,65909 (1998 FH12),Y,APO
20065996,65996 (1998 MX5),N,AMO
20066008,66008 (1998 QH2),N,APO
20066063,66063 (1998 RO1),N,ATE
20066146,66146 (1998 TU3),N,ATE
20066251,66251 (1999 GJ2),N,AMO
20066253,66253 (1999 GT3),N,APO
20066272,66272 (1999 JW6),N,AMO
20066391,66391 Moshup (1999 KW4),Y,ATE
20066400,66400 (1999 LT7),N,ATE
20066407,66407 (1999 LQ28),N,AMO
20066959,66959 (1999 XO35),N,AMO
20067367,67367 (2000 LY27),Y,AMO
20067381,67381 (2000 OL8),Y,APO
20067399,67399 (2000 PJ6),N,APO
20068031,68031 (2000 YK29),N,AMO
20068063,68063 (2000 YJ66),N,AMO
20068216,68216 (2001 CV26),Y,APO
20068267,68267 (2001 EA16),N,APO
20068278,68278 (2001 FC7),N,AMO
20068346,68346 (2001 KZ66),Y,APO
20068347,68347 (2001 KB67),Y,ATE
20068348,68348 (2001 LO7),N,APO
20068350,68350 (2001 MK3),N,AMO
20068359,68359 (2001 OZ13),N,AMO
20068372,68372 (2001 PM9),Y,APO
20068548,68548 (2001 XR31),Y,APO
20068950,68950 (2002 QF15),Y,APO
20069230,69230 Hermes (1937 UB),Y,APO
20085182,85182 (1991 AQ),Y,APO
20085184,85184 (1991 JG1),N,AMO
20085236,85236 (1993 KH),Y,APO
20085275,85275 (1994 LY),N,AMO
20085490,85490 (1997 SE5),N,AMO
20085585,85585 Mjolnir (1998 FG2),Y,APO
20085628,85628 (1998 KV2),N,AMO
20085640,85640 (1998 OX4),Y,APO
20085709,85709 (1998 SG36),N,AMO
20085713,85713 (1998 SS49),Y,APO
20085770,85770 (1998 UP1),N,ATE
20085774,85774 (1998 UT18),Y,APO
20085804,85804 (1998 WQ5),N,AMO
20085818,85818 (1998 XM4),N,APO
20085839,85839 (1998 YO4),N,AMO
20085867,85867 (1999 BY9),N,AMO
20085938,85938 (1999 DJ4),Y,APO
20085953,85953 (1999 FK21),N,ATE
20085989,85989 (1999 JD6),Y,ATE
20085990,85990 (1999 JV6),Y,APO
20086039,86039 (1999 NC43),Y,APO
20086067,86067 (1999 RM28),N,AMO
20086324,86324 (1999 WA2),N,AMO
20086326,86326 (1999 WK13),N,AMO
20086450,86450 (2000 CK33),N,ATE
20086666,86666 (2000 FL10),N,APO
20086667,86667 (2000 FO10),N,ATE
20086819,86819 (2000 GK137),Y,APO
20086829,86829 (2000 GR146),N,APO
20086878,86878 (2000 HD24),N,APO
20087024,87024 (2000 JS66),N,APO
20087025,87025 (2000 JT66),N,APO
20087309,87309 (2000 QP),N,ATE
20087311,87311 (2000 QJ1),N,APO
20087684,87684 (2000 SY2),Y,ATE
20088188,88188 (2000 XH44),N,AMO
20088213,88213 (2001 AF2),N,ATE
20088254,88254 (2001 FM129),Y,APO
20088263,88263 (2001 KQ1),N,AMO
20088264,88264 (2001 KN20),N,AMO
20088710,88710 (2001 SL9),N,APO
20088959,88959 (2001 TZ44),N,APO
20089136,89136 (2001 US16),Y,APO
20089355,89355 (2001 VS78),N,AMO
20089830,89830 (2002 CE),Y,AMO
20089958,89958 (2002 LY45),Y,APO
20089959,89959 (2002 NT7),Y,APO
20090075,90075 (2002 VU94),Y,APO
20090147,90147 (2002 YK14),N,APO
20090367,90367 (2003 LC5),N,APO
20090373,90373 (2003 SZ219),N,AMO
20090403,90403 (2003 YE45),Y,APO
20090416,90416 (2003 YK118),Y,APO
20096189,96189 Pygmalion (1991 NT3),N,AMO
20096315,96315 (1997 AP10),N,APO
20096536,96536 (1998 SO10),N,APO
20096590,96590 (1998 XB),N,ATE
20096631,96631 (1999 FP59),N,AMO
20096744,96744 (1999 OW3),N,APO
20097725,97725 (2000 GB147),N,AMO
20098943,98943 Torifune (2001 CC21),N,APO
20099248,99248 (2001 KY66),Y,APO
20099799,99799 (2002 LJ3),N,AMO
20099907,99907 (1989 VA),N,ATE
20099935,99935 (2002 AV4),N,APO
20099942,99942 Apophis (2004 MN4),Y,ATE
20100004,100004 (1983 VA),N,APO
20100085,100085 (1992 UY4),Y,APO
20100756,100756 (1998 FM5),N,APO
20100926,100926 (1998 MQ),N,AMO
20101869,101869 (1999 MM),Y,APO
20101873,101873 (1999 NC5),N,AMO
20101955,101955 Bennu (1999 RQ36),Y,APO
20102873,102873 (1999 WK11),N,AMO
20103067,103067 (1999 XA143),Y,APO
20105140,105140 (2000 NL10),N,ATE
20105141,105141 (2000 NF11),N,AMO
20106538,106538 (2000 WK63),N,APO
20106589,106589 (2000 WN107),N,APO
20108519,108519 (2001 LF),N,AMO
20108906,108906 (2001 PL9),N,APO
20111253,111253 (2001 XU10),Y,APO
20112221,112221 (2002 KH4),N,AMO
20112985,112985 (2002 RS28),N,AMO
20115052,115052 (2003 RD6),N,AMO
20136564,136564 (1977 VA),N,AMO
20136582,136582 (1992 BA),N,AMO
20136617,136617 (1994 CC),Y,APO
20136618,136618 (1994 CN2),Y,APO
20136635,136635 (1994 VA1),N,AMO
20136745,136745 (1995 WL8),N,AMO
20136770,136770 (1996 PC1),N,APO
20136773,136773 (1996 TR6),N,AMO
20136793,136793 (1997 AQ18),N,APO
20136795,136795 Tatsunokingo (1997 BQ),Y,APO
20136818,136818 Selqet (1997 MW1),N,ATE
20136839,136839 (1997 WT22),N,AMO
20136849,136849 (1998 CS1),Y,APO
20136874,136874 (1998 FH74),N,APO
20136897,136897 (1998 HJ41),N,AMO
20136900,136900 (1998 HL49),N,APO
20136923,136923 (1998 JH2),N,AMO
20136993,136993 (1998 ST49),N,APO
20137032,137032 (1998 UO1),N,APO
20137044,137044 (1998 UC50),N,AMO
20137052,137052 Tjelvar (1998 VO33),N,APO
20137062,137062 (1998 WM),N,APO
20137064,137064 (1998 WP5),N,AMO
20137078,137078 (1998 XZ4),N,APO
20137084,137084 (1998 XS16),N,APO
20137099,137099 (1998 YW3),N,APO
20137108,137108 (1999 AN10),Y,APO
20137120,137120 (1999 BJ8),Y,APO
20137125,137125 (1999 CT3),N,AMO
20137126,137126 (1999 CF9),Y,APO
20137158,137158 (1999 FB),N,APO
20137170,137170 (1999 HF1),N,ATE
20137175,137175 (1999 JA11),N,APO
20137199,137199 (1999 KX4),N,AMO
20137427,137427 (1999 TF211),Y,APO
20137671,137671 (1999 XP35),N,AMO
20137799,137799 (1999 YB),N,AMO
20137802,137802 (1999 YT),N,AMO
20137805,137805 (1999 YK5),N,ATE
20137911,137911 (2000 AB246),N,AMO
20137924,137924 (2000 BD19),N,ATE
20137925,137925 (2000 BJ19),N,APO
20138013,138013 (2000 CN101),N,APO
20138095,138095 (2000 DK79),Y,AMO
20138127,138127 (2000 EE14),Y,ATE
20138155,138155 (2000 ES70),N,AMO
20138175,138175 (2000 EE104),Y,APO
20138205,138205 (2000 EZ148),N,APO
20138258,138258 (2000 GD2),N,ATE
20138325,138325 (2000 GO82),N,APO
20138359,138359 (2000 GX127),N,APO
20138404,138404 (2000 HA24),Y,APO
20138524,138524 (2000 OJ8),Y,AMO
20138727,138727 (2000 SU180),Y,APO
20138815,138815 (2000 TQ64),N,AMO
20138846,138846 (2000 VJ61),N,APO
20138847,138847 (2000 VE62),N,AMO
20138852,138852 (2000 WN10),N,APO
20138859,138859 (2000 WN63),N,APO
20138877,138877 (2000 XG47),N,APO
20138883,138883 (2000 YL29),N,APO
20138893,138893 (2000 YH66),N,APO
20138911,138911 (2001 AE2),N,AMO
20138925,138925 (2001 AU43),N,AMO
20138937,138937 (2001 BK16),N,APO
20138947,138947 (2001 BA40),N,APO
20138971,138971 (2001 CB21),Y,APO
20139047,139047 (2001 EB16),N,AMO
20139056,139056 (2001 FY),N,AMO
20139211,139211 (2001 GN2),Y,AMO
20139289,139289 (2001 KR1),N,APO
20139345,139345 (2001 KA67),N,APO
20139359,139359 (2001 ME1),Y,APO
20139622,139622 (2001 QQ142),Y,APO
20140039,140039 (2001 SO73),Y,APO
20140158,140158 (2001 SX169),Y,APO
20140288,140288 (2001 SN289),Y,APO
20140333,140333 (2001 TD2),N,ATE
20140928,140928 (2001 VG75),N,AMO
20141018,141018 (2001 WC47),N,AMO
20141052,141052 (2001 XR1),N,APO
20141053,141053 (2001 XT1),Y,APO
20141056,141056 (2001 XV4),N,APO
20141078,141078 (2001 XQ30),N,AMO
20141079,141079 (2001 XS30),N,APO
20141354,141354 (2002 AJ29),N,AMO
20141424,141424 (2002 CD),N,ATE
20141432,141432 (2002 CQ11),Y,ATE
20141447,141447 (2002 CW59),N,AMO
20141484,141484 (2002 DB4),N,ATE
20141495,141495 (2002 EZ11),Y,APO
20141498,141498 (2002 EZ16),N,ATE
20141525,141525 (2002 FV5),Y,APO
20141526,141526 (2002 FA6),N,APO
20141527,141527 (2002 FG7),Y,APO
20141531,141531 (2002 GB),N,ATE
20141593,141593 (2002 HK12),Y,APO
20141614,141614 (2002 JV15),Y,APO
20141670,141670 (2002 JS100),N,AMO
20141761,141761 (2002 MC),N,AMO
20141765,141765 (2002 MP3),N,AMO
20141851,141851 (2002 PM6),Y,APO
20141874,141874 (2002 PO34),N,AMO
20142040,142040 (2002 QE15),N,AMO
20142348,142348 (2002 RX211),N,AMO
20142464,142464 (2002 TC9),N,AMO
20142555,142555 (2002 TB58),N,AMO
20142561,142561 (2002 TX68),N,AMO
20142563,142563 (2002 TR69),N,AMO
20142781,142781 (2002 UM11),N,AMO
20143381,143381 (2003 BC21),N,AMO
20143404,143404 (2003 BD44),Y,APO
20143409,143409 (2003 BQ46),N,AMO
20143487,143487 (2003 CR20),Y,APO
20143527,143527 (2003 EN16),N,AMO
20143624,143624 (2003 HM16),N,APO
20143637,143637 (2003 LP6),N,APO
20143643,143643 (2003 NP7),N,AMO
20143649,143649 (2003 QQ47),Y,APO
20143651,143651 (2003 QO104),Y,APO
20143678,143678 (2003 SA224),N,AMO
20143947,143947 (2003 YQ117),N,APO
20143992,143992 (2004 AF),Y,APO
20144332,144332 (2004 DV24),Y,APO
20144411,144411 (2004 EW9),N,APO
20144861,144861 (2004 LA12),N,APO
20144898,144898 (2004 VD17),Y,APO
20144900,144900 (2004 VG64),Y,ATE
20144901,144901 (2004 WG1),N,APO
20144922,144922 (2005 CK38),N,AMO
20145656,145656 (4788 P-L),N,AMO
20152558,152558 (1990 SA),N,AMO
20152560,152560 (1991 BN),Y,APO
20152561,152561 (1991 RB),Y,APO
20152563,152563 (1992 BF),N,ATE
20152564,152564 (1992 HF),N,APO
20152575,152575 (1994 GY),N,AMO
20152637,152637 (1997 NC1),Y,ATE
20152664,152664 (1998 FW4),Y,APO
20152667,152667 (1998 FR11),N,APO
20152671,152671 (1998 HL3),Y,APO
20152679,152679 (1998 KU2),N,APO
20152680,152680 (1998 KJ9),Y,APO
20152685,152685 (1998 MZ),Y,APO
20152742,152742 (1998 XE12),N,ATE
20152754,152754 (1999 GS6),Y,APO
20152756,152756 (1999 JV3),N,APO
20152770,152770 (1999 RR28),Y,APO
20152787,152787 (1999 TB10),N,AMO
20152828,152828 (1999 VT25),Y,APO
20152889,152889 (2000 CF59),N,APO
20152895,152895 (2000 CQ101),N,AMO
20152931,152931 (2000 EA107),N,ATE
20152941,152941 (2000 FM10),N,APO
20152942,152942 (2000 FN10),N,AMO
20152952,152952 (2000 GC2),N,AMO
20152964,152964 (2000 GP82),N,APO
20152978,152978 (2000 GJ147),Y,APO
20153002,153002 (2000 JG5),Y,APO
20153195,153195 (2000 WB1),N,APO
20153201,153201 (2000 WO107),Y,ATE
20153219,153219 (2000 YM29),N,AMO
20153220,153220 (2000 YN29),Y,APO
20153243,153243 (2001 AU47),N,APO
20153249,153249 (2001 BW15),N,APO
20153267,153267 (2001 CB32),N,APO
20153271,153271 (2001 CL42),N,APO
20153306,153306 (2001 JL1),N,AMO
20153311,153311 (2001 MG1),Y,APO
20153315,153315 (2001 NH6),N,APO
20153349,153349 (2001 PJ9),N,APO
20153415,153415 (2001 QP153),N,ATE
20153460,153460 (2001 RN),N,APO
20153591,153591 (2001 SN263),Y,AMO
20153792,153792 (2001 VH75),N,APO
20153814,153814 (2001 WN5),Y,APO
20153842,153842 (2001 XT30),N,AMO
20153951,153951 (2002 AC3),N,AMO
20153953,153953 (2002 AD9),N,APO
20153957,153957 (2002 AB29),N,APO
20153958,153958 (2002 AM31),Y,APO
20154007,154007 (2002 BY),N,AMO
20154019,154019 (2002 CZ9),Y,APO
20154020,154020 (2002 CA10),N,APO
20154029,154029 (2002 CY46),N,APO
20154035,154035 (2002 CV59),N,APO
20154144,154144 (2002 FA5),N,AMO
20154229,154229 (2002 JN97),N,APO
20154244,154244 (2002 KL6),N,AMO
20154268,154268 (2002 RM129),N,APO
20154269,154269 (2002 SM),Y,APO
20154275,154275 (2002 SR41),Y,APO
20154276,154276 (2002 SY50),Y,APO
20154278,154278 (2002 TB9),N,APO
20154300,154300 (2002 UO),N,APO
20154302,154302 (2002 UQ3),Y,APO
20154330,154330 (2002 VX94),Y,APO
20154347,154347 (2002 XK4),N,APO
20154453,154453 (2003 CJ11),N,APO
20154555,154555 (2003 HA),N,APO
20154589,154589 (2003 MX2),N,AMO
20154590,154590 (2003 MA3),Y,APO
20154631,154631 (2003 WO25),N,APO
20154652,154652 (2004 EP20),N,APO
20154656,154656 (2004 FE3),N,APO
20154658,154658 (2004 FA18),N,APO
20154715,154715 (2004 LB6),N,APO
20154807,154807 (2004 PP97),N,APO
20154988,154988 (2004 XN35),N,APO
20154991,154991 Vinciguerra (2005 BX26),N,AMO
20154993,154993 (2005 EA94),N,APO
20155110,155110 (2005 TB),N,APO
20155140,155140 (2005 UD),N,APO
20155334,155334 (2006 DZ169),N,AMO
20155336,155336 (2006 GA1),N,APO
20155338,155338 (2006 MZ1),Y,APO
20155340,155340 (2006 SK198),N,AMO
20155341,155341 (2006 SA218),N,AMO
20159399,159399 (1998 UL1),N,AMO
20159402,159402 (1999 AP10),N,AMO
20159454,159454 (2000 DJ8),N,AMO
20159459,159459 (2000 KB),N,APO
20159467,159467 (2000 QK25),N,AMO
