observation_id,id,discovering_org,first_obs,latest_obs,num_obs
129,20021088,Otto Matic,1990-01-30,2026-04-03,7906
130,20024761,Otto Matic,1993-01-28,2024-07-05,1192
131,20025143,Giorgini,1998-09-19,2024-12-19,1025
132,20037655,Otto Matic,1994-08-01,2024-06-27,658
133,20038086,Otto Matic,1992-05-01,2026-03-28,1129
134,20039557,Otto Matic,1992-05-02,2026-03-29,624
135,20052387,Otto Matic,1993-07-20,2026-03-19,1745
136,20053435,Otto Matic,1974-08-13,2026-02-18,3287
137,20054509,Otto Matic,2000-08-03,2005-08-03,550
138,20065803,Steve Chesley,2022-09-27,2025-03-11,1869
139,20066391,Otto Matic,1998-05-29,2025-07-17,3868
140,20069230,Otto Matic,1937-10-25,2025-06-30,2702
141,20085585,Otto Matic,1998-03-21,2003-10-20,196
142,20096189,Otto Matic,1986-03-19,2025-03-01,1548
143,20098943,Davide Farnocchia,1982-11-10,2026-02-13,2398
144,20099942,Davide Farnocchia,2004-03-15,2022-04-09,7370
145,20101955,Davide Farnocchia,1999-09-11,2020-10-03,554
146,20136795,Otto Matic,1997-01-16,2025-08-28,421
147,20136818,Otto Matic,1997-06-29,2019-05-07,637
148,20137052,Otto Matic,1998-11-15,2026-01-06,1600
149,20154991,Otto Matic,1987-05-30,2025-01-12,426
150,20161989,Otto Matic,1978-02-08,2023-01-28,1795
151,20162011,Otto Matic,1993-12-22,2023-04-23,511
152,20162173,Otto Matic,1986-04-14,2025-07-23,5088
153,20163693,Otto Matic,2003-02-12,2026-03-28,1042
154,20164207,Otto Matic,2001-05-11,2026-03-23,363
155,20164215,Otto Matic,2001-10-20,2010-05-20,208
156,20189011,Otto Matic,1997-07-11,2023-12-16,251
157,20217628,Otto Matic,1960-09-24,2022-12-04,503
158,20280244,Otto Matic,2002-11-24,2024-12-30,305
159,20306367,Otto Matic,1960-10-22,2025-07-21,212
160,20314082,Otto Matic,2005-01-19,2025-05-09,363
161,20326290,Otto Matic,1993-04-13,2026-02-27,348
162,20326732,Otto Matic,2003-03-26,2025-03-25,5890
163,20343158,Otto Matic,2004-03-18,2025-06-16,343
164,20355256,Otto Matic,1995-11-23,2026-01-12,1278
165,20367943,Otto Matic,2012-02-23,2013-02-21,1017
166,20398188,Otto Matic,2001-07-02,2022-08-27,684
167,20428694,Otto Matic,2008-07-25,2025-04-25,778
168,20429733,Otto Matic,2011-06-06,2023-12-08,726
169,20452307,Otto Matic,1997-12-05,2026-01-17,279
170,20469219,Otto Matic,2004-03-17,2025-01-10,330
171,20471926,Otto Matic,2013-05-28,2023-09-18,378
172,20481984,Otto Matic,1996-09-18,2025-06-18,462
173,20506074,Otto Matic,2015-10-24,2025-12-13,651
174,20520585,Otto Matic,2014-07-23,2024-04-27,297
175,20524522,Otto Matic,2002-11-11,2023-09-24,610
176,20594913,Otto Matic,2020-01-04,2025-11-30,379
177,20605911,Otto Matic,2011-09-20,2025-08-27,392
178,20614470,Otto Matic,1998-11-19,2025-01-20,439
179,20620096,Otto Matic,2011-05-30,2025-10-04,404
180,20622577,Otto Matic,2014-06-02,2024-05-24,95
181,20679829,Otto Matic,2008-10-25,2021-09-25,257
182,20785648,Otto Matic,2015-09-11,2025-03-24,803
183,1000036,Davide Farnocchia,1835-08-21,1994-01-11,8518
184,1000025,Davide Farnocchia,2018-11-05,2025-10-25,640
185,1000504,Marsden,,,26
186,1000505,Landgraf,,,127
187,1000069,Davide Farnocchia,1921-04-28,2026-01-20,1692
188,1000099,Davide Farnocchia,1967-01-07,2022-03-20,1768
189,1000068,Davide Farnocchia,1953-06-20,2025-06-07,8059
190,1000066,Davide Farnocchia,1887-08-27,2025-07-31,2481
191,1000027,Davide Farnocchia,2008-04-27,2022-03-03,1655
192,1000144,M.S.W. Keesey,1961-11-29,1968-12-26,16
193,1000212,M.S.W. Keesey,1852-09-01,1913-10-13,201
194,1000032,Shantanu Naidu,2011-05-01,2024-10-21,1993
195,1000009,M.S.W. Keesey,1847-08-01,1989-09-09,223
196,1000077,Shantanu Naidu,2000-10-07,2026-03-30,2497
197,1000034,Davide Farnocchia,2007-12-19,2024-10-07,511
198,1000016,Davide Farnocchia,1956-10-03,2012-01-26,455
199,1000284,Marsden,1927-??-??,1938-??-??,47
200,1000043,Marsden,1788-??-??,1940-??-??,75
201,1000100,Davide Farnocchia,2016-11-10,2023-09-13,4300
202,1000045,Davide Farnocchia,2016-11-05,2022-07-04,1823
203,1000109,Davide Farnocchia,2013-10-30,2023-12-10,4224
204,1000095,M.S.W. Keesey,1865-12-22,1998-07-05,392
205,1000021,Davide Farnocchia,1974-03-22,2018-11-10,547
206,1000012,Davide Farnocchia,2008-06-01,2023-04-26,8608
207,1000020,Davide Farnocchia,1978-10-10,2023-06-20,66
208,1000394,Davide Farnocchia,2016-02-13,2023-08-15,515
209,1003777,Davide Farnocchia,1995-12-23,1996-02-19,62
210,1000320,Nick Mastrodemos,1995-12-23,2006-05-25,1484
211,1000081,Alan B. Chamberlin,1995-12-15,2011-12-24,3223
212,1000324,M.S.W. Keesey,1989-12-09,2000-12-12,129
213,1002326,Nick Mastrodemos,2006-02-20,2006-05-03,551
214,1002327,Nick Mastrodemos,2006-03-04,2006-05-11,112
215,1002336,Otto Matic,2006-03-05,2006-04-02,42
216,1002332,Nick Mastrodemos,2006-03-05,2006-04-21,42
217,1002334,Nick Mastrodemos,2006-03-05,2006-05-02,39
218,1002331,Nick Mastrodemos,2006-03-23,2006-05-06,73
219,1002338,Nick Mastrodemos,2006-03-23,2006-05-03,133
220,1002335,Nick Mastrodemos,2006-03-23,2006-04-21,55
221,1002333,Nick Mastrodemos,2006-03-23,2006-04-09,37
222,1002339,Nick Mastrodemos,2006-03-24,2006-05-02,280
223,1002340,Nick Mastrodemos,2006-03-24,2006-03-25,11
224,1002341,Davide Farnocchia,2006-03-23,2017-05-31,44
225,1002342,Nick Mastrodemos,2006-03-23,2006-04-08,21
226,1002343,Davide Farnocchia,2006-03-23,2006-04-02,11
227,1002344,Davide Farnocchia,2006-03-23,2006-04-21,15
228,1002345,Davide Farnocchia,2006-03-23,2006-05-08,48
229,1002346,Davide Farnocchia,2006-03-23,2006-04-26,15
230,1002348,Davide Farnocchia,2006-04-02,2006-04-08,16
231,1002349,Nick Mastrodemos,2006-04-02,2006-04-21,36
232,1002350,Nick Mastrodemos,2006-04-02,2006-05-03,35
233,1002351,Nick Mastrodemos,2006-04-02,2006-05-02,45
234,1002352,Nick Mastrodemos,2006-04-02,2006-04-08,11
235,1002353,Nick Mastrodemos,2006-04-02,2006-04-22,43
236,1002354,Nick Mastrodemos,2006-04-02,2006-04-09,25
237,1002355,Nick Mastrodemos,2006-04-02,2006-04-26,79
238,1002356,Nick Mastrodemos,2006-04-05,2006-04-08,19
239,1002357,Otto Matic,2006-04-07,2006-05-08,17
240,1002358,Giorgini,2006-04-07,2006-04-26,19
241,1002359,Nick Mastrodemos,2006-04-08,2006-04-19,12
242,1002360,Nick Mastrodemos,2006-04-07,2006-04-21,15
243,1002361,Nick Mastrodemos,2006-04-07,2006-04-09,12
244,1002363,Nick Mastrodemos,2006-04-11,2006-04-29,43
245,1002364,Nick Mastrodemos,2006-04-18,2006-04-20,19
246,1002365,Nick Mastrodemos,2006-04-18,2006-05-03,95
247,1002366,Nick Mastrodemos,2006-04-17,2006-05-14,185
248,1002367,Nick Mastrodemos,2006-04-07,2006-04-21,15
249,1002368,Otto Matic,2006-04-20,2006-05-02,36
250,1002369,Nick Mastrodemos,2006-04-07,2006-04-28,25
251,1002370,Nick Mastrodemos,2006-03-29,2006-04-28,12
252,1002371,Davide Farnocchia,2006-04-02,2006-04-21,9
253,1002372,Davide Farnocchia,2006-04-19,2006-04-26,29
254,1002373,Nick Mastrodemos,2006-04-19,2006-04-21,16
255,1002374,Davide Farnocchia,2006-04-19,2006-04-26,27
256,1002375,Davide Farnocchia,2006-04-19,2006-04-26,11
257,1002376,Nick Mastrodemos,2006-04-19,2006-04-26,14
258,1002377,Nick Mastrodemos,2006-04-19,2006-04-21,15
259,1002378,Nick Mastrodemos,2006-04-25,2006-05-06,63
260,1002379,Nick Mastrodemos,2006-04-20,2006-04-26,8
261,1002380,Nick Mastrodemos,2006-04-21,2006-04-26,16
262,1002381,Nick Mastrodemos,2006-04-20,2006-05-01,13
263,1002382,Nick Mastrodemos,2006-04-19,2006-04-26,11
264,1002383,Nick Mastrodemos,2006-04-20,2006-04-26,9
265,1002384,Nick Mastrodemos,2006-04-25,2006-05-02,23
266,1002385,Nick Mastrodemos,2006-04-18,2006-04-26,13
267,1002386,Nick Mastrodemos,2006-04-20,2006-05-01,14
268,1002387,Nick Mastrodemos,2006-04-20,2006-04-26,9
269,1002388,Nick Mastrodemos,2006-04-20,2006-04-26,13
270,1002390,Nick Mastrodemos,2006-05-02,2006-05-08,31
271,1002391,Nick Mastrodemos,2006-04-20,2006-05-11,28
272,1002392,Nick Mastrodemos,2006-04-27,2006-05-05,32
273,1002393,Nick Mastrodemos,2006-04-25,2006-05-02,25
274,1002395,Nick Mastrodemos,2006-04-07,2006-05-05,20
275,1002396,Nick Mastrodemos,2006-04-20,2006-05-02,12
276,1003506,Otto Matic,2017-02-10,2017-10-18,353
277,1003864,Davide Farnocchia,2022-07-23,2022-07-30,15
278,1003865,Davide Farnocchia,2022-07-23,2022-08-14,15
279,1003873,Davide Farnocchia,2022-08-13,2022-08-17,12
280,1003874,Davide Farnocchia,2022-08-13,2022-08-23,41
281,1003875,Davide Farnocchia,2022-08-14,2022-08-19,25
282,1000022,Javier Roa,1986-12-27,2013-04-04,215
283,1003790,Otto Matic,1982-02-05,1982-06-23,28
284,1003791,Otto Matic,1982-02-05,1982-02-28,17
285,1000004,Steven R. Chesley,1975-02-05,1986-03-01,51
286,1000061,Shantanu Naidu,2012-04-20,2024-07-14,669
287,1000041,Davide Farnocchia,2008-05-05,2025-04-28,8768
288,1000056,Davide Farnocchia,2016-01-04,2022-06-12,1551
289,1000140,M.S.W. Keesey,1737-07-08,1995-03-29,652
290,1000156,M.S.W. Keesey,1846-03-02,1996-06-25,294
291,1003394,Davide Farnocchia,2015-05-24,2021-03-24,852
292,1000152,Davide Farnocchia,1994-08-15,2000-02-11,411
293,1000279,Davide Farnocchia,1994-08-30,2020-12-18,157
294,1004087,Davide Farnocchia,2015-08-17,2015-09-06,52
295,1003881,Otto Matic,2020-12-07,2021-01-13,11
296,1000096,Shantanu Naidu,2015-08-09,2023-04-13,434
297,1000042,Otto Matic,1983-11-23,2005-10-12,335
298,1000525,Otto Matic,1990-03-23,2025-07-20,3224
299,1001656,Otto Matic,1989-03-07,2025-05-02,1332
300,1000909,Otto Matic,1889-06-24,2006-12-11,1702
301,1000136,Ryan S. Park,1991-11-11,2014-06-15,88
302,1000380,Otto Matic,2001-10-26,2016-10-29,200
303,1000349,Shantanu Naidu,2012-05-27,2024-02-06,715
304,1000400,Otto Matic,2002-07-30,2022-08-24,1469
305,1000441,Otto Matic,2003-05-23,2023-10-17,325
306,1000921,Otto Matic,1892-10-16,2009-01-04,284
307,1000339,Otto Matic,2001-05-11,2024-05-30,945
308,1000487,Otto Matic,2003-12-03,2024-09-15,2879
309,1000440,Shantanu Naidu,2020-07-11,2026-03-23,201
310,1000345,Davide Farnocchia,2009-03-17,2026-03-21,3339
311,1000437,Shantanu Naidu,2014-12-29,2026-03-24,502
312,1000530,Otto Matic,2004-12-07,2019-05-26,239
313,1002424,Otto Matic,2006-10-19,2021-01-18,884
314,1000298,Davide Farnocchia,2016-04-05,2021-08-29,122
315,1002422,Otto Matic,2006-10-02,2021-10-07,503
316,1000154,Otto Matic,1994-12-12,2013-04-22,1339
317,1002435,Otto Matic,2006-11-10,2023-07-08,771
318,1000765,Otto Matic,1827-06-21,2014-04-04,1140
319,1000750,Giorgini,2013-07-04,2024-07-15,356
320,1002493,Otto Matic,2008-01-13,2025-04-18,269
321,1000567,Davide Farnocchia,2014-02-01,2023-04-11,148
322,1000448,Otto Matic,2003-07-30,2025-11-27,406
323,1003094,Otto Matic,2005-07-28,2020-02-01,93
324,1002993,Otto Matic,2008-05-02,2022-10-30,371
325,1000508,Otto Matic,2004-09-02,2015-10-10,121
326,1001745,Otto Matic,1997-05-01,2012-06-30,91
327,1001474,Davide Farnocchia,1999-09-04,2015-08-08,318
328,1002073,Davide Farnocchia,2016-11-23,2025-02-08,171
329,1003986,Davide Farnocchia,2021-03-02,2021-03-03,9
330,1003987,Davide Farnocchia,2021-03-02,2021-03-03,9
331,1003026,Otto Matic,1951-05-28,2022-09-24,1380
332,1003435,Otto Matic,2007-11-04,2025-09-18,1302
333,1001542,Davide Farnocchia,2000-07-30,2016-07-02,283
334,1003263,Otto Matic,2013-02-01,2023-12-06,1487
335,1003346,Otto Matic,2014-10-18,2025-01-22,740
336,1003006,Otto Matic,2008-12-22,2020-01-29,347
337,1003292,Otto Matic,2013-10-04,2021-05-10,1017
338,1003467,Shantanu Naidu,2016-05-11,2025-09-23,300
339,1003451,Otto Matic,2015-12-01,2021-01-05,160
340,1003925,Otto Matic,2012-09-06,2023-07-13,114
341,1003138,Otto Matic,2011-06-12,2024-08-05,990
342,1003635,Otto Matic,2019-02-19,2024-12-02,368
343,1003654,Otto Matic,2019-11-01,2025-05-27,468
344,1004010,Otto Matic,2004-08-19,2024-07-29,98
345,1000703,Yeomans,1766-04-09,1766-05-03,22
346,1000705,Leverrier,1770-06-15,1770-10-03,130
347,1000889,Otto Matic,1884-07-26,1884-10-23,19
348,1000927,Belyaev and Stal'bov,1895-08-24,1896-02-06,182
349,1000954,Otto Matic,1905-04-06,1905-05-01,5
350,1000981,Otto Matic,1914-11-13,1914-11-18,5
351,1000985,Otto Matic,1917-03-24,1917-05-01,12
352,1000024,Otto Matic,1921-04-29,1921-06-08,27
353,1001031,Otto Matic,1937-03-02,1937-04-30,17
354,1001045,Otto Matic,1942-03-20,1942-03-23,7
355,1001109,Otto Matic,1961-01-05,1961-01-13,8
356,1000037,Otto Matic,1978-07-30,1978-11-29,62
357,1001234,Otto Matic,1989-01-07,1989-03-01,23
358,1000129,Otto Matic,1991-06-14,1993-01-21,136
359,1001439,Otto Matic,1999-05-10,2010-04-22,267
360,1000271,Otto Matic,1999-09-07,1999-11-13,109
361,1000373,Otto Matic,2001-07-28,2002-07-03,882
362,1000362,Otto Matic,2001-11-21,2002-06-07,350
363,1001843,Otto Matic,2002-09-05,2008-06-10,64
364,1001852,Otto Matic,2002-09-20,2008-07-04,39
365,1002004,Otto Matic,2003-10-09,2016-05-05,491
366,1001673,Otto Matic,2005-10-14,2005-10-31,31
367,1002409,Otto Matic,2005-07-06,2008-05-05,3059
368,1002480,Otto Matic,2007-08-11,2008-01-18,50
369,1003317,Otto Matic,2008-12-21,2014-05-17,76
370,1003080,Otto Matic,2009-11-22,2010-04-17,113
371,1003099,Otto Matic,2010-06-14,2010-07-15,34
372,1003152,Otto Matic,2011-09-30,2012-03-28,343
373,1003198,Otto Matic,2012-07-13,2013-04-11,2490
374,1003369,Otto Matic,2015-01-08,2015-06-12,57
375,1003377,Otto Matic,2015-02-18,2015-02-21,417
376,1003382,Otto Matic,2015-04-05,2015-05-18,209
377,1003429,Otto Matic,2015-12-14,2017-10-27,116
378,1003554,Otto Matic,2017-12-26,2018-09-17,93
379,1003675,Davide Farnocchia,2020-04-09,2020-04-17,76
380,1003672,Otto Matic,2020-04-13,2020-07-19,490
381,1003699,Otto Matic,2020-06-27,2021-06-10,2344
382,1003811,Otto Matic,2021-04-10,2021-12-09,181
383,1003792,Otto Matic,2021-06-17,2021-07-12,96
384,1003909,Otto Matic,2021-08-09,2021-11-12,112
385,1003804,Otto Matic,2021-08-29,2021-11-14,274
386,1003914,Otto Matic,2022-12-25,2023-11-15,3004
387,1003954,Otto Matic,2023-09-25,2024-06-02,692
388,1004036,Otto Matic,2024-07-09,2025-01-02,43
