id,name,potentially_hazardous,num_satellites
1002346,Schwassmann-Wachmann,0,0
1002348,Schwassmann-Wachmann,0,0
1002349,Schwassmann-Wachmann,0,0
1002350,Schwassmann-Wachmann,0,0
1002351,Schwassmann-Wachmann,0,0
1002352,Schwassmann-Wachmann,0,0
1002353,Schwassmann-Wachmann,0,0
1002354,Schwassmann-Wachmann,0,0
1002355,Schwassmann-Wachmann,0,0
1002356,Schwassmann-Wachmann,0,0
1002357,Schwassmann-Wachmann,0,0
1002358,Schwassmann-Wachmann,0,0
1002359,Schwassmann-Wachmann,0,0
1002360,Schwassmann-Wachmann,0,0
1002361,Schwassmann-Wachmann,0,0
1002363,Schwassmann-Wachmann,0,0
1002364,Schwassmann-Wachmann,0,0
1002365,Schwassmann-Wachmann,0,0
1002366,Schwassmann-Wachmann,0,0
1002367,Schwassmann-Wachmann,0,0
1002368,Schwassmann-Wachmann,0,0
1002369,Schwassmann-Wachmann,0,0
1002370,Schwassmann-Wachmann,0,0
1002371,Schwassmann-Wachmann,0,0
1002372,Schwassmann-Wachmann,0,0
1002373,Schwassmann-Wachmann,0,0
1002374,Schwassmann-Wachmann,0,0
1002375,Schwassmann-Wachmann,0,0
1002376,Schwassmann-Wachmann,0,0
1002377,Schwassmann-Wachmann,0,0
1002378,Schwassmann-Wachmann,0,0
1002379,Schwassmann-Wachmann,0,0
1002380,Schwassmann-Wachmann,0,0
1002381,Schwassmann-Wachmann,0,0
1002382,Schwassmann-Wachmann,0,0
1002383,Schwassmann-Wachmann,0,0
1002384,Schwassmann-Wachmann,0,0
1002385,Schwassmann-Wachmann,0,0
1002386,Schwassmann-Wachmann,0,0
1002387,Schwassmann-Wachmann,0,0
1002388,Schwassmann-Wachmann,0,0
1002390,Schwassmann-Wachmann,0,0
1002391,Schwassmann-Wachmann,0,0
1002392,Schwassmann-Wachmann,0,0
1002393,Schwassmann-Wachmann,0,0
1002395,Schwassmann-Wachmann,0,0
1002396,Schwassmann-Wachmann,0,0
1003506,Schwassmann-Wachmann,0,0
1003864,Schwassmann-Wachmann,0,0
1003865,Schwassmann-Wachmann,0,0
1003873,Schwassmann-Wachmann,0,0
1003874,Schwassmann-Wachmann,0,0
1003875,Schwassmann-Wachmann,0,0
1000022,du Toit-Hartley,0,0
1003790,du Toit-Hartley,0,0
1003791,du Toit-Hartley,0,0
1000004,Boethin,0,0
1000061,Machholz,0,0
1000041,Hartley,0,0
1000056,Kowal,0,0
1000140,Swift-Tuttle,0,0
1000156,de Vico,0,0
1003394,Machholz,0,0
1000152,Machholz,0,0
1000279,Machholz,0,0
1004087,Machholz,0,0
1003881,Machholz,0,0
1000096,Tritton,0,0
1000042,Hartley-IRAS,0,0
1000525,Siding Spring,0,0
1001656,NEAT,0,0
1000909,Barnard,0,0
1000136,Shoemaker-Levy,0,0
1000380,LONEOS,0,0
1000349,Petriew,0,0
1000400,NEAT,0,0
1000441,LINEAR,0,0
1000921,Barnard-Boattini,0,0
1000339,NEAT,0,0
1000487,LINEAR,0,0
1000440,Christensen,0,0
1000345,LINEAR,0,0
1000437,LINEAR,0,0
1000530,LINEAR,0,0
1002424,LINEAR,0,0
1000298,LINEAR,0,0
1002422,Levy,0,0
1000154,McNaught-Russell,0,0
1002435,Gibbs,0,0
1000765,Pons-Gambart,0,0
1000750,Blanpain,0,0
1002493,LINEAR,0,0
1000567,Catalina,0,0
1000448,LINEAR,0,0
1003094,WISE,0,0
1002993,Catalina-McNaught,0,0
1000508,McNaught,0,0
1001745,SOHO,0,0
1001474,SOHO,0,0
1002073,SOHO,0,0
1003986,SOHO,0,0
1003987,SOHO,0,0
1003026,Yang-Gao,0,0
1003435,LINEAR,0,0
1001542,SOHO,0,0
1003263,PANSTARRS,0,0
1003346,Kowalski,0,0
1003006,Boattini,0,0
1003292,Lemmon,0,0
1003467,STEREO,0,0
1003451,PANSTARRS,0,0
1003925,NEOWISE,0,0
1003138,Elenin,0,0
1003635,ATLAS,0,0
1003654,Catalina,0,0
1004010,Rankin,0,0
1000703,Helfenzrieder,0,0
1000705,Lexell,0,0
1000889,Barnard,0,0
1000927,Swift,0,0
1000954,Giacobini,0,0
1000981,Campbell,0,0
1000985,Mellish,0,0
1000024,Dubiago,0,0
1001031,Wilk,0,0
1001045,Vaisala,0,0
1001109,Candy,0,0
1000037,Haneda-Campos,0,0
1001234,Bradfield,0,0
1000129,Levy,0,0
1001439,SOHO,0,0
1000271,LONEOS,0,0
1000373,LONEOS,0,0
1000362,BATTERS,0,0
1001843,SOHO,0,0
1001852,SOHO,0,0
1002004,SOHO,0,0
1001673,SWAN,0,0
1002409,Siding Spring,0,0
1002480,Kowalski,0,0
1003317,SOHO,0,0
1003080,Catalina,0,0
1003099,WISE,0,0
1003152,Kowalski,0,0
1003198,La Sagra,0,0
1003369,PANSTARRS,0,0
1003377,SOHO,0,0
1003382,SWAN-Xingming,0,0
1003429,NEOWISE,0,0
1003554,Leonard,0,0
1003675,ATLAS,0,0
1003672,Pimentel,0,0
1003699,ATLAS,0,0
1003811,PANSTARRS,0,0
1003792,ZTF,0,0
1003909,ATLAS,0,0
1003804,ATLAS,0,0
1003914,ATLAS,0,0
1003954,Lemmon,0,0
1004036,PANSTARRS,0,0
